NVIDIA CORPORATION,NASDAQ,NVDA,COMMON,TECHNOLOGY,SEMICONDUCTOR - SPECIALIZED
NETEASE,NASDAQ,NTES,COMMON,TECHNOLOGY,INTERNET SOFTWARE & SERVICES
VISA INC,NYSE,V,COMMON,FINANCIAL,CREDIT SERVICES
LEMAITRE VASCULAR INC,NASDAQ,LMAT,COMMON,HEALTHCARE,MEDICAL INSTRUMENTS & SUPPLIES
MARKETAXESS HOLDINGS,NASDAQ,MKTX,COMMON,FINANCIAL,INVESTMENT BROKERAGE - NATIONAL
APTIV PLC,NYSE,APTV,COMMON,CONSUMER GOODS,AUTO PARTS
CBOE HOLDINGS INC,NASDAQ,CBOE,COMMON,FINANCIAL,DIVERSIFIED INVESTMENTS
EXPEDIA GROUP,NASDAQ,EXPE,COMMON,SERVICES,LODGING
TRACTOR SUPPLY COMPANY,NASDAQ,TSCO,COMMON,SERVICES,SPECIALTY RETAIL; OTHER
ANDEAVOR,NYSE,ANDV,COMMON,BASIC MATERIALS,OIL & GAS REFINING & MARKETING
STARBUCKS CORPORATION,NASDAQ,SBUX,COMMON,SERVICES,SPECIALTY EATERIES
INTEL CORPORATION - CO,NASDAQ,INTC,COMMON,TECHNOLOGY,SEMICONDUCTOR - BROAD LINE
SCOTTS MIRACLE-GRO COMPANY,NYSE,SMG,COMMON,BASIC MATERIALS,AGRICULTURAL CHEMICALS
WALMART INC,NYSE,WMT,COMMON,SERVICES,DISCOUNT; VARIETY STORES
ELI LILLY AND COMPANY,NYSE,LLY,COMMON,HEALTHCARE,DRUG MANUFACTURERS - MAJOR
QUALCOMM INCORPORATED,NASDAQ,QCOM,COMMON,TECHNOLOGY,COMMUNICATION EQUIPMENT
BROOKFIELD INFRASTRUCTURE PARTNERS LP,NYSE,BIP,MLP,UTILITIES,DIVERSIFIED UTILITIES
MAGELLAN MIDSTREAM PARTNERS L.P,NYSE,MMP,MLP,BASIC MATERIALS,OIL & GAS PIPELINES
MACQUARIE INFRASTRUCTU,NYSE,MIC,COMMON,SERVICES,AIR SERVICES; OTHER
ENERGY TRANSFER PARTNERS LP,NYSE,ETP,MLP,BASIC MATERIALS,OIL & GAS PIPELINES
W.R. BERKLEY CORPORATION,NYSE,WRB,COMMON,FINANCIAL,PROPERTY & CASUALTY INSURANCE
DEERE & COMPANY,NYSE,DE,COMMON,INDUSTRIAL GOODS,FARM & CONSTRUCTION MACHINERY
CME GROUP INC,NASDAQ,CME,COMMON,FINANCIAL,INVESTMENT BROKERAGE - NATIONAL
HUNTSMAN CORPORATION C,NYSE,HUN,COMMON,BASIC MATERIALS,CHEMICALS - MAJOR DIVERSIFIED
WESTERN DIGITAL CORPOR,NASDAQ,WDC,COMMON,TECHNOLOGY,DATA STORAGE DEVICES
T. ROWE PRICE GROUP I,NASDAQ,TROW,COMMON,FINANCIAL,ASSET MANAGEMENT
MCDONALD'S CORPORATION,NYSE,MCD,COMMON,SERVICES,RESTAURANTS
PACKAGING CORPORATION OF AMERICA,NYSE,PKG,COMMON,CONSUMER GOODS,PACKAGING & CONTAINERS
MOLSON COORS BREWING COMPANY,NYSE,TAP.A,COMMON,CONSUMER DEFENSIVE,BEVERAGES - BREWERS
GILEAD SCIENCES INC,NASDAQ,GILD,COMMON,HEALTHCARE,BIOTECHNOLOGY
KIMBERLY-CLARK CORPORATION,NYSE,KMB,COMMON,CONSUMER GOODS,PERSONAL PRODUCTS
GENERAL MOTORS COMPANY,NYSE,GM,COMMON,CONSUMER GOODS,AUTO MANUFACTURERS - MAJOR
SEAGATE TECHNOLOGY PLC,NASDAQ,STX,COMMON,TECHNOLOGY,DATA STORAGE DEVICES
ALTRIA GROUP,NYSE,MO,COMMON,CONSUMER GOODS,CIGARETTES
PHILIP MORRIS INTERNAT,NYSE,PM,COMMON,CONSUMER GOODS,CIGARETTES
NATIONAL CINEMEDIA IN,NASDAQ,NCMI,COMMON,SERVICES,MARKETING SERVICES
APOLLO COMMERCIAL REAL ESTATE FINANCE,NYSE,ARI,REIT,MORTGAGE,COMMERCIAL FINANCING
TWO HARBORS INVESTMENT CORP,NYSE,TWO,REIT,MORTGAGE,HOME FINANCING
MASTERCARD INCORPORATED,NYSE,MA,COMMON,FINANCIAL,CREDIT SERVICES
DOLLAR GENERAL CORPORA,NYSE,DG,COMMON,SERVICES,DISCOUNT; VARIETY STORES
AMERICAN EXPRESS COMPA,NYSE,AXP,COMMON,FINANCIAL,CREDIT SERVICES
WD-40 COMPANY,NASDAQ,WDFC,COMMON,BASIC MATERIALS,SPECIALTY CHEMICALS
BRISTOL-MYERS SQUIBB COMPANY,NYSE,BMY,COMMON,HEALTHCARE,DRUG MANUFACTURERS - MAJOR
CVS HEALTH CORPORATION,NYSE,CVS,COMMON,HEALTHCARE,HEALTH CARE PLANS
CISCO SYSTEMS INC,NASDAQ,CSCO,COMMON,TECHNOLOGY,NETWORKING & COMMUNICATION DEVICES
VERIZON COMMUNICATIONS,NYSE,VZ,COMMON,TECHNOLOGY,TELECOM SERVICES - DOMESTIC
SEASPAN CORPORATION,NYSE,SSW,COMMON,SERVICES,SHIPPING
ENTERPRISE PRODUCTS PA,NYSE,EPD,MLP,BASIC MATERIALS,INDEPENDENT OIL & GAS
KKR & CO L.P,NYSE,KKR,MLP,FINANCIAL,ASSET MANAGEMENT
BITCOIN GROUP SE O.N,FRA,ADE,,,
AUTOGRILL SPA,BIT,AGL,,,
ALIBABA GROUP HOLDING,NYSE,BABA,COMMON,SERVICES,SPECIALTY RETAIL; OTHER
CALAMP CORP,NASDAQ,CAMP,COMMON,TECHNOLOGY,WIRELESS COMMUNICATIONS
CTRIP.COM INTERNATIONA,NASDAQ,CTRP,COMMON,SERVICES,LODGING
GUIDEWIRE SOFTWARE IN,NYSE,GWRE,COMMON,TECHNOLOGY,BUSINESS SOFTWARE & SERVICES
JD.COM INC,NASDAQ,JD,COMMON,TECHNOLOGY,INTERNET INFORMATION PROVIDERS
OSRAM LICHT AG NA O.N,FRA,OSR,,,
SBA COMMUNICATIONS COR,NASDAQ,SBAC,COMMON,TECHNOLOGY,DIVERSIFIED COMMUNICATION SERVICES
SIEMENS GAMESA RENEWABLE ENERGY,BME,SGRE,,,
TELEFONICA,BME,TEF,,,
TESLA MOTORS INC,NASDAQ,TSLA,COMMON,CONSUMER GOODS,AUTO MANUFACTURERS - MAJOR
